Proof_of_Transit_Result,Number_of_Nodes,Node_Attestation,Network_Trust
0.3745401188473625,6,3,2.201348829337049
0.9507143064099162,0,6,7.111111111111112
0.7319939418114051,3,3,7.091666666666665
0.5986584841970366,3,8,
0.15601864044243652,4,0,2.259259259259259
0.15599452033620265,6,7,2.111111111111111
0.05808361216819946,6,6,2.111111111111111
0.8661761457749352,10,1,9.36787355162589
0.6011150117432088,3,7,7.048661778436429
0.7080725777960455,6,0,7.077777777777777
0.020584494295802447,10,10,7.142857142857144
0.9699098521619943,2,8,
0.8324426408004217,5,8,
0.21233911067827616,1,1,1.8776518432852827
0.18182496720710062,9,6,4.2407407407407405
0.18340450985343382,8,9,7.111111111111112
0.3042422429595377,4,2,2.259259259259259
0.5247564316322378,5,6,
0.43194501864211576,3,9,2.3340039573063645
0.2912291401980419,10,8,
0.6118528947223795,9,3,7.637055239315304
0.13949386065204183,6,0,2.111111111111111
0.29214464853521815,8,1,2.025811913794562
0.3663618432936917,6,0,2.1830829164531558
0.45606998421703593,0,4,2.3918570604573013
0.7851759613930136,0,4,7.0481481481481465
0.19967378215835974,8,10,7.12867789694941
0.5142344384136116,10,6,9.021196377709206
0.5924145688620425,8,8,
0.046450412719997725,3,8,
0.6075448519014384,8,2,7.05161248637371
0.17052412368729153,2,2,1.8571428571428572
0.06505159298527952,6,2,2.111111111111111
0.9488855372533332,5,3,
0.9656320330745594,7,7,7.13888888888889
0.8083973481164611,10,5,
0.3046137691733707,8,7,2.05107283322339
0.09767211400638387,4,0,2.259259259259259
0.6842330265121569,0,7,7.085181974112562
0.4401524937396013,2,3,2.3535560065530152
0.12203823484477883,9,10,7.111111111111112
0.4951769101112702,7,0,2.4879617543910837
0.034388521115218396,10,7,7.142857142857144
0.9093204020787821,5,3,
0.2587799816000169,7,5,
0.662522284353982,8,7,7.076004585809744
0.31171107608941095,3,3,2.065674794143607
0.5200680211778108,0,2,7.009965515107806
0.5467102793432796,0,8,
0.18485445552552704,9,2,1.9444444444444444
0.9695846277645586,3,8,
0.7751328233611146,6,1,7.077777777777777
0.9394989415641891,1,1,7.142857142857144
0.8948273504276488,2,1,7.128571428571428
0.5978999788110851,0,5,
0.9218742350231168,4,2,7.0481481481481465
0.0884925020519195,0,8,
0.1959828624191452,7,3,2.041666666666666
0.045227288910538066,0,0,1.679172201537482
0.32533033076326434,10,3,2.0941311624750876
0.388677289689482,0,0,2.2333141898005433
0.2713490317738959,1,4,2.259259259259259
0.8287375091519293,1,3,7.091666666666665
0.3567533266935893,5,7,
0.28093450968738076,6,7,2.111111111111111
0.5426960831582485,4,6,7.021030664919356
0.14092422497476265,0,2,1.8571428571428572
0.8021969807540397,0,0,7.129286457310834
0.07455064367977082,2,0,1.8571428571428572
0.9868869366005173,1,10,9.381327800829876
0.7722447692966574,4,2,7.0481481481481465
0.1987156815341724,9,5,
0.005522117123602399,5,6,
0.8154614284548342,6,5,
0.7068573438476171,3,5,
0.7290071680409873,6,5,
0.7712703466859457,10,2,9.313848132505129
0.07404465173409036,7,5,
0.3584657285442726,10,7,7.066878036580702
0.11586905952512971,0,10,1.7393316742013853
0.8631034258755935,5,10,
0.6232981268275579,7,1,7.0587589840256415
0.3308980248526492,4,4,2.259259259259259
0.06355835028602363,3,0,2.041666666666666
0.3109823217156622,1,0,2.0641681568556276
0.32518332202674705,5,4,
0.7296061783380641,5,2,
0.6375574713552131,10,3,9.188455155169317
0.8872127425763265,0,2,7.128571428571428
0.4722149251619493,8,0,2.4311990410575817
0.1195942459383017,10,0,1.7436137103989786
0.713244787222995,5,4,
0.7607850486168974,2,5,
0.5612771975694962,3,2,7.029971931455433
0.770967179954561,10,8,
0.49379559636439074,3,4,2.4845212700374346
0.5227328293819941,2,7,7.011278280905402
0.42754101835854963,9,0,2.32356959157288
0.02541912674409519,2,4,2.259259259259259
0.10789142699330445,2,2,1.8571428571428572
